symbol,b1_p,b1_v
300297,3.32,6744
603027,24.08,428
300796,17.43,16
688663,47.17,2
600449,12.02,99
688183,13.96,250
600325,6.01,1779
605136,24.35,151
688357,191.94,67
002595,27.74,2
002309,6.75,2438
002493,18.16,607
000524,7.45,184
300371,14.93,73
300803,39.57,6
300943,46.28,270
688018,189.2,2
600862,35.76,27
002829,39.43,94
600008,3.4,14998
605080,74.79,1
600248,4.79,963
603337,23.42,18
000504,18.59,10
603889,6.18,67
688148,34.98,97
301006,24.08,10
688321,35.01,350
300009,13.09,2452
688211,75.0,0
600841,11.83,70
688358,45.58,35
601218,5.51,1174
300541,13.17,145
600592,10.34,97
600624,6.92,211
600185,6.91,1013
688569,20.14,22
688229,55.13,28
603188,5.58,415
002552,14.61,189
300972,15.85,241
002615,5.58,340
688210,41.46,185
002882,11.18,142
600769,6.28,229
002539,13.27,698
300074,4.21,12
600079,22.51,251
003011,34.17,346
600617,4.22,1336
000557,4.21,365
002422,18.93,526
300937,45.54,56
002723,14.76,111
688038,19.11,11
301073,34.32,16
688521,77.35,30
603565,28.38,11
300182,6.32,4907
603359,14.3,234
300119,24.12,106
301040,39.99,21
002942,18.01,20
000680,4.27,866
000038,8.59,29
300285,42.57,58
300883,8.54,914
300135,2.84,4764
000726,6.45,167
601668,5.0,3125
301066,25.16,102
002984,35.55,7
603157,2.13,931
603712,43.26,5
002518,25.1,150
000065,8.58,1078
002078,11.49,2208
300185,3.59,8203
002311,73.3,289
002541,53.54,11
300197,2.89,5642
600979,3.61,2476
600606,4.34,5777
002582,8.7,2460
600774,16.65,45
688696,551.69,5
600710,6.54,1091
300797,17.54,150
002978,42.28,102
603279,46.38,89
300411,7.99,285
002660,8.04,101
600765,50.48,12
600867,10.95,2727
688051,47.74,20
603566,22.09,121
000505,7.33,777
600282,3.69,4189
002988,20.6,346
000906,11.11,134
002742,7.37,1
603859,39.66,18
300140,7.38,307
300117,3.7,191
002097,9.66,997
601965,18.6,54
600812,11.91,87
605300,21.52,57
600510,7.48,93
300383,14.84,1403
300539,8.14,20
603977,10.48,49
600075,8.21,2199
688190,118.36,2
300321,20.24,28
603101,5.92,387
002796,8.23,126
002230,52.51,228
600569,2.99,5680
600150,24.78,548
300210,3.77,5635
300391,15.19,319
002233,10.57,324
600007,14.4,132
601212,3.04,9326
000587,1.5,6242
000995,25.11,634
301077,58.55,70
002772,8.36,1557
002407,44.99,2606
600082,3.02,780
002938,42.42,19
600258,26.12,1115
600736,4.59,509
002019,17.61,79
300262,3.83,925
000615,10.77,938
603038,13.85,10
300082,15.45,85
688511,55.39,9
600522,16.96,24
603833,147.5,28
300777,61.88,101
002993,39.37,2
688088,44.06,37
300208,10.83,290
300555,9.26,10
002171,13.25,12
603160,107.7,8
002695,16.31,894
300593,54.37,6
000301,19.34,499
002036,24.25,237
300153,10.13,287
601100,81.78,11
601186,7.79,3761
002195,2.34,59
000404,4.69,537
002768,25.84,28
002444,30.51,411
600766,4.7,115
601021,56.8,726
600523,24.39,41
300501,19.69,108
301004,20.48,2
300034,57.59,24
600225,3.14,1112
603677,12.65,22
300598,63.99,67
300821,18.28,813
002891,30.24,143
002831,33.55,3
000544,6.39,311
688388,125.4,22
002715,12.74,127
603938,36.78,21
000545,3.99,5835
000153,11.97,484
603788,14.27,194
300731,36.45,20
300284,6.37,817
603506,16.83,72
300732,12.03,109
688667,171.71,30
002294,27.31,141
300070,7.18,6298
600236,6.42,25
605180,35.28,67
300399,12.11,10
605199,24.92,1127
300114,17.68,172
600415,4.84,1361
002067,4.04,2883
688330,113.66,10
601933,4.04,9934
300699,84.47,13
688377,18.61,9
600694,19.5,178
000534,17.93,5
300042,15.38,37
000802,4.91,478
300131,8.14,48
300746,13.84,262
000536,2.45,1802
600881,3.24,6263
600547,18.81,1045
002365,10.6,1024
603990,22.27,74
600822,9.04,993
600299,12.32,197
