symbol,name,close,yest_close,b1_p,b1_v,volume
301065,本立科技,50.23,51.97,50.23,5,13912
002130,沃尔核材,8.07,8.35,8.07,1491,247643
603031,安德利,48.12,49.79,48.12,15,10930
603626,科森科技,12.1,12.52,12.1,305,96328
688110,东芯股份,43.2,44.7,43.2,113,88575
603755,日辰股份,56.73,58.7,56.73,56,7653
000795,英洛华,8.06,8.34,8.06,569,858046
300919,中伟股份,138.73,143.56,138.37,61,25411
600850,电科数字,33.03,34.18,33.02,111,45775
000821,京山轻机,12.92,13.37,12.91,142,112961
002918,蒙娜丽莎,26.4,27.32,26.4,11,54598
603778,乾景园林,4.59,4.75,4.59,1504,87263
002651,利君股份,12.62,13.06,12.62,43,77613
603666,亿嘉和,71.12,73.6,71.05,1,23231
603939,益丰药房,55.59,57.53,55.59,189,73444
688396,华润微,61.0,63.13,61.0,277,113081
603663,三祥新材,25.76,26.66,25.72,193,50250
002788,鹭燕医药,8.3,8.59,8.3,523,400989
002413,雷科防务,7.15,7.4,7.14,654,580948
688737,中自科技,58.05,60.08,58.04,9,9695
688077,大地熊,73.42,75.99,73.42,161,23421
688606,奥泰生物,119.61,123.8,119.61,7,7580
300415,伊之密,19.96,20.66,19.95,21,64491
000008,神州高铁,2.85,2.95,2.84,9665,1181670
603768,常青股份,16.5,17.08,16.48,17,13977
300289,利德曼,7.67,7.94,7.67,611,185996
600178,东安动力,8.52,8.82,8.51,28,126547
600529,山东药玻,40.57,42.0,40.57,323,87671
002041,登海种业,25.23,26.12,25.22,1111,131224
603577,汇金通,9.07,9.39,9.06,494,39142
300729,乐歌股份,28.34,29.34,28.34,62,11911
835368,连城数控,95.72,99.1,95.71,19,3014
300142,沃森生物,53.2,55.08,53.2,653,233714
603698,航天工程,17.82,18.45,17.81,4,62623
600741,华域汽车,28.0,28.99,27.96,20,207312
002405,四维图新,15.52,16.07,15.51,309,677825
688681,科汇股份,19.72,20.42,19.72,13,13698
001208,华菱线缆,14.36,14.87,14.36,47,83454
002733,雄韬股份,21.66,22.43,21.65,896,274678
300151,昌红科技,37.1,38.42,37.1,27,55778
002437,誉衡药业,2.81,2.91,2.81,3058,731018
688029,南微医学,199.5,206.6,199.5,0,7558
