,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell,inst_sell
sz000719,0,0,0,0,0,0
sz002756,12.93,197829.0,0.0,0.0,0.0,0.0
sz002351,5.26,44184.0,0.0,0.0,0.0,0.0
sz300673,0,0,0,0,0,0
sz300225,4.76,85204.0,0.0,0.0,0.0,0.0
sh600587,0,0,0,0,0,0
sz300396,0,0,0,0,0,0
sz000903,2.6,45500.0,0.0,0.0,0.0,0.0
sz000426,6.21,4866777.0,0.0,0.0,0.0,0.0
sh603108,0,0,0,0,0,0
sh600249,0,0,0,0,0,0
sh600776,16.15,47442321.0,0.0,0.0,0.0,0.0
sz002793,10.36,37296.0,0.0,0.0,0.0,0.0
sz300489,12.5,108750.0,0.0,0.0,0.0,0.0
sh603808,0,0,0,0,0,0
sh600834,0,0,0,0,0,0
sh603025,10.82,56264.0,0.0,0.0,0.0,0.0
sh603067,8.16,18768.0,0.0,0.0,0.0,0.0
sz300173,5.2,479960.0,0.0,0.0,0.0,0.0
sz000035,0,0,0,0,0,0
sz300551,0,0,0,0,0,0
sh600757,6.73,2692.0,0.0,0.0,0.0,0.0
sz002684,7.08,1185192.0,0.0,0.0,0.0,0.0
sz000850,0,0,0,0,0,0
sz002390,3.96,25740.0,0.0,0.0,0.0,0.0
sh601068,5.83,14218787.0,0.0,0.0,0.0,0.0
sh600103,2.73,33306.0,0.0,0.0,0.0,0.0
sz000938,32.22,67662.0,0.0,0.0,0.0,0.0
sz002137,7.12,75472.0,0.0,0.0,0.0,0.0
sz002357,5.85,175500.0,0.0,0.0,0.0,0.0
sh603602,26.48,153584.0,7.616666666666666,0.17308028,0.8270473,0.15437427
sz300200,0,0,0,0,0,0
sz002520,0,0,0,0,0,0
sh603828,8.62,226620.0,0.0,0.0,0.0,0.0
sh600695,5.05,845370.0,0.0,0.0,0.0,0.0
sh601211,16.65,4099413.0,0.0,0.0,0.0,0.0
sz002278,6.73,47783.0,0.0,0.0,0.0,0.0
sz300041,6.8,1360.0,0.0,0.0,0.0,0.0
sh600225,3.25,342550.0,0.0,0.0,0.0,0.0
sz002455,5.17,22231.0,0.0,0.0,0.0,0.0
sh600233,10.65,225780.0,0.0,0.0,0.0,0.0
sz300629,16.68,13344.0,0.0,0.0,0.0,0.0
sh600796,5.63,181849.0,0.0,0.0,0.0,0.0
sz002543,13.06,62688.0,0.0,0.0,0.0,0.0
sh600561,0,0,0,0,0,0
sh600995,6.78,10170.0,0.0,0.0,0.0,0.0
sz300595,40.08,172344.0,0.0,0.0,0.0,0.0
sz002878,25.48,7644.0,0.0,0.0,0.0,0.0
sh600789,8.39,2076525.0,0.0,0.0,0.0,0.0
sz300453,12.68,1863960.0,0.0,0.0,0.0,0.0
sz000612,4.04,8484.0,0.0,0.0,0.0,0.0
sh600693,0,0,0,0,0,0
sz002544,11.89,65395.0,0.0,0.0,0.0,0.0
sh603083,24.15,425040.0,0.3,0.09209931,0.10536765,0.04476669
sh601515,0,0,0,0,0,0
sh603506,22.78,56950.0,0.0,0.0,0.0,0.0
sh600242,16.2,33255360.0,0.0,0.0,0.0,0.0
sh603559,23.57,725956.0,0.0,0.0,0.0,0.0
sz300281,5.29,129605.0,0.0,0.0,0.0,0.0
sz002310,6.76,823368.0,0.0,0.0,0.0,0.0
sz000906,5.11,24528.0,0.0,0.0,0.0,0.0
sz002156,7.47,31374.0,0.0,0.0,0.0,0.0
sh601611,6.93,93555.0,0.0,0.0,0.0,0.0
sh601918,3.03,167862.0,0.0,0.0,0.0,0.0
sh600223,3.1,25420.0,0.0,0.0,0.0,0.0
sz002011,4.45,36935.0,0.0,0.0,0.0,0.0
sz300009,12.93,106026.0,0.0,0.0,0.0,0.0
sz300331,0,0,0,0,0,0
sz300492,19.92,187248.0,0.0,0.0,0.0,0.0
sz300683,26.97,16182.0,0.0,0.0,0.0,0.0
sz300417,15.02,1502.0,0.0,0.0,0.0,0.0
sz000709,3.05,193980.0,0.0,0.0,0.0,0.0
sz300532,10.28,564989.0,0.0,0.0,0.0,0.0
sh600381,0,0,0,0,0,0
sz300116,1.46,8935930.0,0.0,0.0,0.0,0.0
sh600162,0,0,0,0,0,0
sz000985,12.68,38040.0,0.0,0.0,0.0,0.0
sh603600,0,0,0,0,0,0
sz002557,19.38,23256.0,0.0,0.0,0.0,0.0
sh603937,11.69,1222774.0,0.0,0.0,0.0,0.0
sz300405,8.06,57226.0,0.0,0.0,0.0,0.0
sh600664,3.8,23560.0,0.0,0.0,0.0,0.0
sh601168,6.06,45450.0,0.0,0.0,0.0,0.0
sz002555,10.1,294920.0,0.0,0.0,0.0,0.0
sh601678,4.55,234325.0,0.0,0.0,0.0,0.0
sz002635,11.25,13500.0,0.0,0.0,0.0,0.0
sz002122,1.69,37856.0,0.0,0.0,0.0,0.0
sz300295,11.88,34452.0,0.0,0.0,0.0,0.0
sz300115,8.16,177888.0,0.0,0.0,0.0,0.0
sh603499,20.1,22110.0,0.4166666666666667,0.06522093,0.18894047,0.05972269
sh600339,3.82,155856.0,0.0,0.0,0.0,0.0
sz300245,8.93,8037.0,0.0,0.0,0.0,0.0
sh603169,4.98,703176.0,0.0,0.0,0.0,0.0
sz002140,0,0,0,0,0,0
sz002067,3.67,227907.0,0.0,0.0,0.0,0.0
