,kaipan_price,kaipan_money,sell_amount
sh600370,3.69,189666,0.00260736
sh600512,2.77,1001909,0.00053956
sh600019,7.27,5341262,0.0009386800000000001
sz000899,5.64,56964,0.00582075
sh603885,14.82,1484964,0.019901560000000002
sz002344,5.55,774225,0.01775154
sz002171,6.75,651375,0.024561299999999998
sz300693,17.96,301728,0.0002784
sh600331,3.81,1159002,0.000388
sh603861,12.99,171468,0.0011429399999999998
sz002785,11.5,598000,0.00335192
sh600759,3.42,689130,0.061575929999999994
sz002738,18.6,3481920,0.0348192
sh600123,8.1,1415070,0.008281619999999998
sz000719,8.75,58625,0.001135
sz002756,15.91,736633,0.0032097000000000002
sz002351,6.29,826506,0.00562683
sz300673,54.3,1960230,0.0027685
sz300225,6.02,274512,0.0022625
sh600587,15.29,246169,0.0011894000000000002
sz300396,16.36,233948,0.0028314
sz000903,3.08,126896,0.02113724
sz000426,6.3,745920,0.00180726
sh603108,12.18,344694,0.010144
sh600249,5.41,1053327,0.01128526
sh600776,28.17,21079611,12.404863139999998
sz002793,13.0,182000,0.00533904
sz300489,15.41,533186,0.0023709399999999998
sh603808,17.56,184380,0.0029847999999999997
sh600834,8.07,154944,0.00105336
sh603025,11.68,150672,0.012756479999999999
sh603067,10.25,864075,0.0043026
sz300173,5.74,229600,0.01054899
sz000035,5.24,52924,1.614e-05
sz300551,15.2,503120,0.032674
sh600757,7.3,632180,0.01032
sz002684,7.06,1183256,0.06050193
sz000850,4.71,1255215,0.00094478
sz002390,5.79,1036989,0.00525096
sh601068,7.52,1998816,0.006665
sh600103,3.3,395670,0.0247096
sz000938,43.9,5918598,0.0024381
sz002137,7.93,1661335,0.0079622
sz002357,6.58,59220,0.024563940000000003
sh603602,40.5,4333500,0.0178605
sz300200,8.79,168768,0.00260064
sz002520,8.65,418660,0.00161633
sh603828,10.19,296529,0.0020558
sh600695,7.42,3985282,0.01159536
sh601211,20.16,23147712,0.01902775
sz002278,7.59,258060,0.0708084
sz300041,7.57,165026,0.00712225
sh600225,4.17,301908,0.0013621299999999998
sz002455,6.0,445800,0.008647430000000001
sh600233,13.47,370425,0.0010397
sz300629,19.79,142488,0.0002013
sh600796,6.22,90812,0.0021733399999999997
sz002543,14.85,124740,0.00242565
sh600561,7.0,2123800,0.0034741
