,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell
sh600975,13.8,1173000.0,0.38333333333333336,0.09238911,0.06198387
sz002118,14.4,21720960.0,17.216666666666665,0.09871637,1.37748633
sh603639,38.28,38280.0,0.0,0.00076834,0.00042273
sz000861,3.02,620308.0,3.466666666666667,0.07081927,0.03668734
sh603360,27.48,1264080.0,0.1,0.01682413,0.01668465
sz000757,5.89,321005.0,0.0,0.0175815,0.0001824
sh600708,6.3,2783970.0,0.0,0.0009289,0.0009289
sz002219,4.23,5922423.0,0.1,0.03566142,0.04909288
sz002355,11.91,7408020.0,0.0,0.00348265,0.00348265
sz000552,3.32,361216.0,0.0,0.0257181,0.00549874
sz300484,13.22,530122.0,0.2,0.01024538,0.00451751
sz002656,8.14,15202264.0,0.0,0.01852174,0.01027214
sh601899,3.6,6312600.0,0.2833333333333333,0.07718036,0.02637142
sz000030,5.72,589160.0,0.0,0.01919805,0.00120637
sz300317,6.21,63963.0,177.96666666666667,0.05487507,1.3259166299999998
sh600452,26.73,74844.0,0.0,0.01019065,0.01005655
sz000737,0,0,0,0,0
sz300011,7.69,346050.0,0.0,0.0004367,0.00275461
sz002562,6.34,363916.0,0.0,0.00446815,0.00446815
sz002102,2.29,4405960.0,3.033333333333333,0.03747388,0.020834210000000002
sh603618,7.49,1670270.0,0.0,0.00481945,0.00481945
sz000702,6.72,678048.0,0.0,0.00179303,0.0002064
sh600054,11.66,212212.0,1.55,0.00484802,0.00514187
sz300280,30.44,395720.0,0.0,0.00246981,0.00027477
sh603223,11.79,207504.0,0.0,0.00140912,0.00260445
sz000972,3.62,3620.0,25.0,0.03325449,0.1269574
sz002028,12.95,889665.0,0.0,0.00222762,0.00026408
sz300045,10.97,808489.0,0.1,0.02236149,0.00875078
sz300610,0.0,0.0,0.0,0.0,0.0001037
sh603416,28.64,105968.0,0.0,0.00544538,0.00532906
sz002026,7.17,479028.0,0.0,0.0150756,0.00145061
sz002799,15.83,63320.0,0.0,0.00216519,0.00110856
sz300765,46.7,821920.0,0.2,0.00992587,0.01550614
sh600654,2.63,2996622.0,0.5,0.00625201,0.02148828
sz002082,11.89,167649.0,0.0,0.00418616,0.00418616
sz300708,12.31,100942.0,0.15,0.00587199,0.00327298
sh600370,3.9,17160.0,6.983333333333333,0.01217474,0.0165426
sh600512,2.89,792727.0,0.0,0.40599175,0.04470757
sh600019,7.68,4886861.0,0.05,0.00764274,0.02035251
sz000899,6.03,59697.0,0.0,0.00167636,0.00052048
sh603885,14.5,1641400.0,0.0,0.01223632,0.01223632
sz002344,5.7,783750.0,0.0,0.00491267,0.00036146
sz002171,6.8,421600.0,0.18333333333333332,0.00545113,0.00378226
sz300693,17.3,328700.0,0.0,0.00093852,8.86e-05
sh600331,3.73,336073.0,1.0,0.00858271,0.01066838
sh603861,0.0,0.0,0.05,0.00303445,0.00386282
sz002785,11.3,18080.0,0.6,0.00479586,0.00113999
sh600759,4.33,213286707.0,244.18333333333334,0.00228624,4.4290993400000005
sz002738,18.9,200340.0,0.03333333333333333,0.00630632,0.00042856
sh600123,8.72,1205976.0,0.16666666666666666,0.0,0.01699375
sz000719,8.96,37632.0,0.05,0.00168203,0.00289432
sz002756,16.83,407286.0,0.0,0.0,0.00407286
sz002351,6.65,615790.0,0.15,0.01920489,0.00423394
sz300673,43.38,837234.0,1.1,0.00052171,0.00278306
sz300225,7.23,6504831.0,0.05,0.00222912,0.01118584
sh600587,15.38,224548.0,0.0,0.0062066,0.0093144
sz300396,18.12,125028.0,1.0333333333333334,0.00475803,0.00218866
sz000903,3.27,3215064.0,207.98333333333335,0.40441199,2.3946311700000003
sz000426,6.19,1839049.0,0.3,0.01321282,0.01675318
sh603108,13.21,569351.0,0.0,0.00691212,8.075e-05
sh600249,5.07,176943.0,1.35,0.00601808,0.00964667
sh600776,28.52,13783716.0,0.06666666666666667,0.01744238,0.0406815
sz002793,0,0,0,0,0
sz300489,19.95,5889240.0,0.0,0.0,0.0588924
sh603808,17.93,177507.0,0.0,0.00049793,0.00049793
sh600834,8.38,212014.0,0.0,0.0,0.00212014
sh603025,12.12,83628.0,0.0,0.00061889,0.00061889
sh603067,10.65,33015.0,0.0,0.0001083,0.0001083
sz300173,6.7,7343870.0,0.0,0.01447178,0.00738827
sz000035,5.22,164430.0,0.0,0.00865489,0.00018625
sz300551,15.66,319464.0,0.45,0.00416068,0.00306046
sh600757,7.57,215745.0,0.1,0.05048685,0.06587534
sz002684,7.26,855954.0,0.9,0.18162481,0.59335599
sz000850,5.25,2177700.0,0.0,0.02298684,0.00211834
sz002390,5.84,109792.0,135.48333333333335,0.21507835,2.0216274299999997
sh601068,7.52,753504.0,0.21666666666666667,0.0086899,0.00882918
sh600103,3.33,137862.0,0.0,0.00931478,0.00227502
sz000938,45.4,3427700.0,0.0,0.02678644,0.00100376
sz002137,8.47,1530529.0,0.05,0.0007057,0.00118287
sz002357,7.29,785862.0,0.13333333333333333,0.00595815,0.00284186
sh603602,36.84,1377816.0,0.0,0.00440016,0.00440016
sz300200,9.69,20349.0,0.1,0.00291604,0.00100215
sz002520,8.54,6832.0,0.0,0.00283403,0.000868
sh603828,11.66,120821.0,0.6666666666666666,0.00254924,0.01104021
sh600695,8.14,7193318.0,0.0,0.03844587,0.01631383
sh601211,20.29,2672193.0,0.0,0.04038382,0.00372464
sz002278,8.35,3835990.0,0.0,0.00406573,0.00071134
sz300041,8.17,321081.0,0.0,0.00243478,0.00206758
sh600225,5.14,502178.0,2.2,0.00681046,0.01248309
sz002455,6.44,37996.0,0.26666666666666666,0.02228205,0.00398282
sh600233,13.78,336232.0,0.0,0.00240353,0.00100753
sz300629,20.13,52338.0,0.1,0.00170742,0.00070018
sh600796,6.46,315894.0,0.7,0.00335396,0.00486573
