,kaipan_price,kaipan_money
sh600928,5.03,1652858.0000000002
sh600929,6.06,12726.0
sh600933,13.64,27280.0
sh600936,3.01,58393.99999999999
sh600939,3.59,0.0
sh600956,12.85,2703640.0
sh600958,9.05,988260.0
sh600959,3.28,610000.0
sh600960,4.26,2120000.0
sh600961,6.42,14766.0
sh600962,7.99,228514.0
sh600963,5.83,6330000.0
sh600965,6.28,916880.0000000001
sh600966,15.71,521572.0
sh600967,10.97,421248.00000000006
sh600968,2.56,1090000.0
sh600969,6.38,76560.0
sh600970,8.87,144581.0
sh600971,6.05,1271105.0
sh600973,4.17,60000.0
sh600975,6.3,124739.99999999999
sh600976,41.36,310200.0
sh600977,12.97,345002.0
sh600978,0.52,0.0
sh600979,3.03,320574.0
sh600980,14.09,153581.0
sh600981,2.89,30923.0
sh600982,3.48,246036.0
sh600983,9.78,190000.0
sh600984,12.5,1018750.0
sh600985,11.03,3006778.0
sh600986,4.43,136443.99999999997
sh600987,5.46,19110.0
sh600988,18.5,7320000.0
sh600989,14.49,1860516.0
sh600990,41.25,33000.0
sh600992,6.6,66000.0
sh600993,21.18,2897424.0
sh600995,7.28,140000.0
sh600996,4.64,142912.0
sh600997,7.07,2428545.0
sh600998,17.0,390000.0
sh600999,19.28,1890000.0
sh601000,2.54,160000.0
sh601001,6.95,1865380.0
sh601002,4.83,70035.0
sh601003,6.54,507504.0
sh601005,2.62,5350302.0
sh601006,6.96,640000.0
sh601007,8.58,150000.0
sh601008,3.61,199993.99999999997
sh601009,10.09,2082575.9999999998
sh601010,3.13,8764.0
sh601011,4.0,162400.0
sh601012,100.2,49110000.0
sh601015,7.64,2224004.0
sh601016,4.08,2947800.0
sh601018,4.02,58691.99999999999
sh601019,6.17,3701.9999999999995
sh601020,6.98,9983494.0
sh601021,62.63,460000.0
sh601028,17.65,67070.0
sh601038,12.64,1338576.0
sh601058,9.78,625920.0
sh601066,30.77,3197003.0
sh601068,3.29,36848.0
sh601069,13.1,656310.0
sh601077,4.21,990000.0
sh601086,3.89,10000.0
sh601088,19.46,2673804.0
sh601098,9.78,119315.99999999999
sh601099,3.6,5890000.0
sh601100,84.25,4960000.0
sh601101,4.32,252720.00000000003
sh601106,2.83,112068.0
sh601107,3.25,100000.0
sh601108,10.84,1289960.0
sh601111,8.75,346500.0
sh601113,4.29,1716.0
sh601116,9.16,13740.0
sh601117,6.47,330000.0
sh601118,5.12,339968.0
sh601126,6.57,173448.0
sh601127,56.8,51010000.0
sh601128,7.28,350000.0
sh601137,10.5,48300.0
sh601138,13.21,829588.0000000001
sh601139,6.95,140000.0
sh601155,47.47,2630000.0
sh601158,5.42,143088.0
sh601162,4.8,1687200.0
sh601163,15.2,50160.0
sh601166,21.62,9220930.0
sh601168,12.9,3470000.0
sh601169,4.89,1678248.0
sh601177,7.75,0.0
sh601179,4.14,750000.0
